CAV-P_1,CAV-P_2,CAV-P_3,CAV-P_4,CAV-P_5,CAV-P_6,CAV-P_7,CAV-P_8,CAV-P_9,CAV-P_10,CAV-P_11,CAV-P_12,Rage3,Rage5,Rage7,Rage8,Rage9,Revenge2,Revenge3,Revenge4,Revenge5,Revenge6,Reward1,Reward2,Reward3,Reward4,Reward5,Recreation1,Recreation2,Recreation3,Recreation4,Recreation5,Benign1,Benign2,Benign3,Benign4,Benign5,Benign6,Benign7,Toxic1,Toxic2,Toxic3,Toxic4,RSES_SC1,RSES_SD2,RSES_SC3,RSES_SC4,RSES_SD5,RSES_SD6,RSES_SC7,RSES_SD8,RSES_SD9,RSES_SC10,BES_A1,BES_A2,BES_C3,BES_A4,BES_A5,BES_C6,BES_A7,BES_A8,BES_C9,BES_C10,BES_A11,BES_C12,BES_A13,BES_C14,BES_A15,BES_C16,BES_A17,BES_A18,BES_C19,BES_C20
Please indicate how often YOU behaved as described below towards OTHERS on social media. - Posted or re-posted something embarrassing or mean about another person,Please indicate how often YOU behaved as described below towards OTHERS on social media. - Sent or forwarded a hurtful message to someone,Please indicate how often YOU behaved as described below towards OTHERS on social media. - Posted or re-posted an embarrassing photo or video of someone that they did not want others to see,"Please indicate how often YOU behaved as described below towards OTHERS on social media. - Posted a hurtful comment about an online photo or video of somebody else (for example, made fun of how they look)",Please indicate how often YOU behaved as described below towards OTHERS on social media. - Posted messages to purposely exclude a certain person or group of people,Please indicate how often YOU behaved as described below towards OTHERS on social media. - Posted or re-posted something private about another person that they did not want others to know,Please indicate how often YOU behaved as described below towards OTHERS on social media. - Spread rumours or gossip about someone,Please indicate how often YOU behaved as described below towards OTHERS on social media. - Made hurtful comments about somebody's race or ethnicity,Please indicate how often YOU behaved as described below towards OTHERS on social media. - Made hurtful comments about somebody's perceived sexual orientation,"Please indicate how often YOU behaved as described below towards OTHERS on social media. - Made hurtful comments about somebody's perceived sexual behaviors (for example, called somebody a slut or a pervert)",Please indicate how often YOU behaved as described below towards OTHERS on social media. - Said something sexual to somebody else to embarrass them or to be mean,Please indicate how often YOU behaved as described below towards OTHERS on social media. - Sent sexual content (photos or jokes) to somebody else to embarrass them or to be mean,How much do you agree with the statements below? - I use social media to get back at someone as soon as they post a hurtful message about me,"How much do you agree with the statements below? - If someone makes fun of me on the internet, I get frustrated and respond angrily online right away","How much do you agree with the statements below? - If I see a message on social media that gets me angry, I react too quickly and then regret the way I responded","How much do you agree with the statements below? - If someone tries to cyberbully me, I quickly lash back with something online","How much do you agree with the statements below? - If someone says something online to hurt me, I post something back right away to get back at them","How much do you agree with the statements below? - If someone tries to hurt me, I will use social media to get back at them in my own time",How much do you agree with the statements below? - I get back at people who make fun of me on social media because their posts hurt more the more I think about them,How much do you agree with the statements below? - I like using social media to plan my revenge when I feel angry at someone,"How much do you agree with the statements below? - If I need to get revenge on someone, I would rather strike back using social media where I can plan out how to do it","How much do you agree with the statements below? - If I see a mean message about me on social media, it bothers me more and more when I think about it, and I try to get even","How much do you agree with the statements below? - If I don’t like someone, I use social media to turn others against them",How much do you agree with the statements below? - Sometimes I’ll team up with my friends to bring someone down on social media,How much do you agree with the statements below? - Sometimes I can be mean to people on social media to get what I want,"How much do you agree with the statements below? - When I don’t like a person, I use social media to make them feel like they do not belong in my group",How much do you agree with the statements below? - I pretend to be someone else online to ruin somebody else’s friendships,How much do you agree with the statements below? - I get carried away having fun online and others think I’m being a cyberbully or a troll,How much do you agree with the statements below? - I make fun of people I don’t know on social media without thinking about whether they will see it or not,"How much do you agree with the statements below? - If I’m having fun and joking online, I don’t care if someone’s feelings get hurt",How much do you agree with the statements below? - I repeatedly annoy people online because I think it’s funny,How much do you agree with the statements below? - Joking on social media is so much fun that I don’t worry about whether someone might be bothered by what I say,"Please indicate the extent to which you agree with the
following statements: - It is easier to connect with others via social media than talking in person","Please indicate the extent to which you agree with the
following statements: - Social media is anonymous so it is easier for me to express my true feelings or thoughts","Please indicate the extent to which you agree with the
following statements: - It is easier to post things on social media that would be hard to say in real life because you don’t see the other’s face","Please indicate the extent to which you agree with the
following statements: - It is easier to communicate via social media because you can reply anytime you like","Please indicate the extent to which you agree with the
following statements: - I have an image of the other person in my head when I read their social media post(s)","Please indicate the extent to which you agree with the
following statements: - I feel like a different person when I use social media","Please indicate the extent to which you agree with the
following statements: - I feel that on social media I can communicate on the same level with others who are older or have higher status","Please indicate the extent to which you agree with the
following statements: - I don’t mind writing insulting things about others on social media because it’s anonymous","Please indicate the extent to which you agree with the
following statements: - It is easy to post insulting things on social media because there are no repercussions","Please indicate the extent to which you agree with the
following statements: - There are no rules on social media therefore you can do whatever you want","Please indicate the extent to which you agree with the
following statements: - Posting insulting content on social media is not bullying","Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - On the whole, I am satisfied with myself",Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - At times I think I am no good at all,Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - I feel that I have a number of good qualities,Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - I am able to do things as well as most other people,Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - I feel I do not have much to be proud of,Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - I certainly feel useless at times,"Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - I feel that I'm a person of worth, at least on an equal plane with others",Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - I wish I could have more respect for myself,"Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - All in all, I am inclined to feel that I am a failure",Below is a list of statements dealing with your general feelings about yourself.  Please indicate how strongly you agree or disagree with each statement. - I take a positive attitude toward myself,"Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - My friends’ emotions don’t affect me much","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - After being with a friend who is sad about something, I usually feel sad","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I can understand my friend’s happiness when they do well at something","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I get frightened when I watch characters in a good scary movie","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I get caught up in other people’s feelings easily","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I find it hard to know when my friends are frightened","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I don’t become sad when I see other people crying","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - Other people’s feeling don’t bother me at all","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - When someone is feeling ‘down’ I can usually understand how they feel","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I can usually work out when my friends are scared","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I often become sad when watching sad things on TV or in films","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I can often understand how people are feeling even before they tell me","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - Seeing a person who has been angered has no effect on my feelings","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I can usually recognize when people are cheerful","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I tend to feel scared when I am with friends who are afraid","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I can usually realize quickly when a friend is angry","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I often get swept up in my friends’ feelings","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - My friend’s unhappiness doesn’t make me feel anything","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I am not usually aware of my friends’ feelings","Think about your ability to understand and share the feelings of another.  For each statement below, please indicate your agreement or disagreement. - I have trouble figuring out when my friends are happy"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,4,4,4,5,3,3,4,3,2,4,2,3,4,4,4,3,2,2,4,3,4,4,2,2,4,4,3,2,4,2
1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,3,1,1,2,1,2,2,1,1,2,2,2,1,3,4,4,4,4,3,2,4,3,2,2,2,4,2,4,4,3,4,4,3,2,4,2,4,4,4,3,3,3,2,4,3,4,4,3,4,3,4,3,2,2,2
1,2,1,1,2,1,1,1,3,3,1,1,3,4,2,4,4,4,4,3,4,4,4,4,4,3,1,1,1,1,1,1,4,4,4,5,4,1,4,1,3,2,3,3,2,4,3,3,2,5,3,2,5,2,4,4,4,4,3,2,4,4,3,3,4,2,5,3,3,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,5,3,4,5,4,1,5,1,1,1,1,4,4,5,5,2,4,5,1,1,5,1,5,5,1,5,2,1,1,4,3,5,5,1,5,1,5,4,1,1,1
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,4,1,2,1,1,1,1,4,2,5,4,2,4,5,3,1,5,2,3,5,4,2,2,2,2,4,4,4,3,2,4,2,4,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,3,3,4,3,1,1,2,2,4,2,4,3,2,3,4,4,2,4,3,4,4,5,4,2,2,2,2,4,3,3,1,4,4,4,2,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,3,5,5,1,2,1,3,1,1,4,1,3,1,2,1,1,1,1,1,1,5,3,4,5,4,1,4,1,4,4,1,4,5,5,5,3,5,5,3,4,4,1,4,5,3,4,4,2,1,4,2,5,4,2,4,3,5,2,1,2,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,5,5,5,4,4,4,1,5,2,1,3,5,5,4,2,4,4,5,4,4,1,5,4,5,4,1,1,1,4,3,5,3,2,4,2,4,4,2,3,2
1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,2,1,4,4,2,4,1,1,1,1,1,4,2,2,4,4,2,4,4,3,2,4,4,4,4,2,2,2,4,3,4,4,2,4,4,4,4,2,2,2
